0: battery
1: radar
2: floor
3: crop_0
4: crop_1
5: crop_2
6: wall_upgraded
7: floor_upgraded
8: copper
9: uranium
10: wire
11: pipe
12: bed
13: wood_table
14: wood_chair
15: wood_chest
16: shelf
17: cart
18: solar
19: stone_table
20: stone_chair
21: stone_chest
22: stone_window
23: stone_fence
24: stone_ladder
25: iron_chest
26: iron_table
27: iron_chair
28: iron_window
29: iron_fence
30: iron_ladder
31: pump
32: pole
33: water_tank
34: generator
35: steam_lamp
36: adv_workbench
37: garage
38: copper_chest
39: iron_rivet_table
40: elec_lamp
41: elec_workbench
42: grid_pole
43: elec_box
44: monitor_window
45: reactor
46: engine_floor
47: engine
48: nuke_workbench
49: lead_chest
50: nuke_lamp
51: command_table
52: ark_core
53: laser_turret
